,구분,이름,브랜드,설명,가격,평점,하트
75,Unisex,아쿠아 디 파르마 치노또 디 리구리아 75/150ml,아쿠아 디 파르마,이태리 남부의 따스한 햇살같은 시트러스가 마음을 어루만지는 평온함,"83,800원",4.3,
76,Unisex,샤넬 레조 드 파리 도빌 오 드 뚜왈렛 50ml,샤넬,"올여름, 가장 청량한 잔디에서 쉬는 듯한 편안함","124,000원",4.9,
77,Unisex,불가리 쁘띠마망 오 드 뚜왈렛,불가리,"아이와 엄마가 그려지는 귀엽고 포근한, 사랑스러움을 담은 베이비 파우더 향기","65,000원",0.0,
78,Unisex,샤넬 레조 드 파리 비아리츠 오 드 뚜왈렛 50ml,샤넬,제주도의 편안한 온도와 분위기를 닮은 귤 내음,"124,000원",4.8,
79,Unisex,톰포드 만다리노 디 아말피 오 드 퍼퓸,톰포드,아말피산 만다린이 지중해 파도 거품으로 녹아드는 순간을 담은 싱그러움,"295,000원",0.0,
80,Unisex,돌체앤가바나 라이트블루 오 인텐스 25/50/100ml,돌체앤가바나,기존의 돌체 라이트블루를 능가하는 완성된 상큼함,"53,000원",4.9,
81,Unisex,산타마리아노벨라 포푸리 오 드 코롱 100ml,산타마리아노벨라,"마르지 않은 땅 위 텐트를 친 야영, 다양한 나무냄새와 진한 허브가 아로마틱하게 퍼지는 밤","152,000원",5.0,
82,Unisex,로에베 001 우먼 오 드 뚜왈렛 30/50ml,로에베,"로에베 특유의 서정적 우디 내음이 잘 표현된, 바닐라-코코넛의 분분한 낙화의 향기","72,000원",4.8,
83,Unisex,에르메스 운 자르뎅 수르닐 오 드 뚜왈렛,에르메스,맑은 정원의 연꽃이 생각나는 은은하고 투명한 향기,"64,000원",4.8,
84,Unisex,세르주루텐 라 휘드 베흘랑 오 드 퍼퓸,세르주루텐,"고혹적으로 부서지는 붉은 장미, 세르주루텐 특유의 서늘한 감성이 녹아난 베스트셀러","130,000원",4.8,
85,Unisex,딥디크 탐다오 오 드 뚜왈렛,딥티크,내 마음을 달래주는 가장 편한 우디 향기,"128,000원",4.9,
86,Unisex,딥디크 오에도 오 드 뚜왈렛 50ml,딥티크,껍질이 두꺼운 두터운 자몽과 오렌지의 쌉싸름한 상큼함,"128,000원",4.8,
87,Unisex,메종 마르지엘라 위스퍼 인 더 라이브러리,메종 마르지엘라,해리포터 도서관이 연상되는 웅장하고 부드러운 나무와 통카빈향기,"145,000원",4.7,
88,Unisex,세르주루텐 로흐플린 오 드 퍼퓸,세르주루텐,도시의 잿빛을 닮은 숨결이 인센스처럼 퍼지는 오리엔탈 - 머스크 내음,"174,500원",5.0,
89,Unisex,메종 마르지엘라 마차 메디테이션,메종 마르지엘라,"동양적인 무드의 말차라떼, 그 달콤함이 오렌지 플라워에 차분히 스미는 정갈함","80,900원",5.0,
90,Unisex,르페르소나 LP02 피콕 페더 오 드 퍼퓸,르페르소나,"바닷가 선베드에 누워 만끽하는 여름휴가, 타오르는 햇빛 사이로 산뜻하게 퍼지는 라임과 코코넛","104,000원",5.0,
