,,이름,브랜드,향 설명,가격,평점
Women,58,돌체 앤 가바나 앤쏠로지 3 램프하트리스 50/100ml,돌체앤가바나,"남자들이 꼭 물어본다는 전설의 향수, 넥타린의 부드러운 달콤함","58,500원",4.6
Women,59,프로소디 런던 리솜 린든 오 드 퍼퓸 50ml,프로소디 런던,호수에 뛰어든 멜론의 달콤함이 연두빛 물안개를 피워내는 상큼함,"134,000원",5.0
Women,60,조말론 와일드 블루벨 코롱,조말론,연보랏빛 샴푸 향기가 주변을 같은 색으로 은은하게 물들이는 아름다움,"81,800원",4.8
Women,61,톰포드 베네시안 베르가못 오 드 퍼퓸,톰포드,"고급스러운 스웨이드 질감의 앰버가 야경으로 깔린 밤, 지적인 가드니아와 베르가못이 연출하는 도시의 밤 향기","305,000원",0.0
Women,62,딥디크 로드네롤리 오 드 뚜왈렛 100ml,딥티크,밝은 햇살을 머금은 비터 오렌지가 싱그럽게 흔들리는 네롤리의 푸른 잎사귀에 스며드는 순간,"175,000원",5.0
Women,63,아쿠아 디 파르마 로사 노빌레 오 드 퍼퓸,아쿠아 디 파르마,흩날리는 머릿결에서 날 법한 생화 장미와 피오니의 아름드리 예쁜 향기,"128,000원",4.9
Women,64,끌로에 로즈 탠저린 오 드 뚜왈렛 30/50ml,끌로에,"블랙커런트와 탠저린의 달콤한 경쾌함에, 하루종일 기분 좋아지는 싱그러운 플로럴","75,000원",5.0
Women,65,디올 어딕트 오 프레쉬 오 드 뚜왈렛,디올,봄날의 첫사랑을 닮은 경쾌하고 여리여리한 시트러스 플로럴,"124,000원",4.9
Women,66,불리 오 트리쁠 포레드 코미 75ml,불리 1803,"겨울 끝무렵, 한기가 닿은 쌉싸래한 풀내음이 가득 담긴 숲의 향기","170,000원",0.0
Women,67,불리 오 트리플 멕시크 튜베로즈 75ml,불리 1803,단언컨대 가장 유려하게 흐르는 튜베로즈가 여인의 부드러운 등을 연상시키는 향기,"170,000원",4.9
Women,68,메모 케두 오드퍼퓸 75ml,메모,노곤하고 따뜻한 들깨가루 오일의 깊고 에센셜한 향기,"263,000원",5.0
Women,69,더 디퍼런트 컴퍼니 수블림 발키스 오 드 퍼퓸,더 디퍼런트 컴퍼니,비오는날 정원의 흙바닥에서 고고하게 있는 생장미와 블랙커런트의 향기,"168,000원",4.6
Women,70,메모 오리엔탈 레더 오 드 퍼퓸 75ml,메모,"라벤더 빛 물안개, 흔들리는 바람에 피어난 장미 뒤로 밤하늘을 가득 수놓는 파츌리의 수수한 내음","263,000원",5.0
Women,71,불리 오 트리쁠 베르켄 오렌지 블라썸 75ml,불리 1803,"갓 따낸 오렌지 나무 잎사귀에 레몬즙을 뿌린듯, 무더운 여름날 단비 같이 싱그런 오렌지 꽃망울","170,000원",0.0
Women,72,오리베 데저트랜드 오 드 퍼퓸 75ml,오리베,"소나무의 청량함이 건조하게 피어나는 곳, 사막. 그 담담함에 대한 향기","128,870원",0.0
Women,73,오리베 밸리 오브 플라워스 오 드 퍼퓸 75ml,오리베,"꽃이 만개한 5월, 따사로운 햇빛 속 로즈, 피오니, 바이올렛이 풍성하게 어울리는 향기","128,870원",0.0
Women,74,오리베 코트 다쥐르 오 드 퍼퓸 75ml,오리베,"청량한 레몬이 시클라멘 꽃 위에 누워 파도를 타듯, 일렁이는 햇살 속에 젖어드는 낭만의 향기","128,870원",4.5
Women,75,세르주루텐 라 를르지외즈 오 드 퍼퓸,세르주루텐,"검은 고양이가 하얀 자스민 꽃잎에 쉬다 간 자리, 진하게 남는 다크 머스크의 긴 여운","174,500원",5.0
Women,76,킬리안 불레이 부 쿠셔 아베끄 모아 (나랑잘래) 오 드 퍼퓸 50ml,킬리안,"침대 위의 연인, 서로를 포근하게 끌어안은 온기만큼 몽글하게 퍼지는 화이트 플로럴-머스크","265,000원",5.0
Women,77,킬리안 문라이트 인 헤븐 오 드 퍼퓸 50ml,킬리안,"파랗게 물든 저녁 하늘, 그대와 맞잡은 두 손이 저릿한 설렘을 일으키는 트로피컬 향기","285,000원",4.9
Women,78,킬리안 롤링 인 러브 오 드 퍼퓸 50ml,킬리안,글라스 볼에 올려진 바닐라 아이스크림 한 스쿱과 그 위를 천천히 녹이는 따스한 아몬드 밀크,"265,000원",5.0
Women,79,톰포드 블랙 오키드 오 드 퍼퓸 50ml,톰포드,"톰포드 베스트셀러, 럼에 담긴 플럼의 다크한 보랏빛이 연출하는 퇴폐적인 관능미","160,000원",4.9
Women,80,톰포드 로즈프릭 오 드 퍼퓸 50ml,톰포드,"장미의 이중성, 퇴폐미와 외로움을 그린 향기","305,000원",5.0
Women,81,불가리 오 파퓨메 오떼블랑 오드 코롱,불가리,"고요한 새벽안개 길의 끝에서 이슬과 함께 느껴질 법한 화이트 티의 정수, 깨끗함의 정점","119,000원",4.5
Women,82,에르메스 운 자르뎅 아프레 라 무쏭 오 드 뚜왈렛,에르메스,"갑자기 내린 여우비에, 촉촉한 꽃내음과 물내음 섞인 메론향기가 피어났던 한적한 프랑스 정원","145,000원",0.0
Women,83,프레데릭 말 윈로즈 30ml,프레데릭말,"야생화 기운을 받은 로즈, 그 치명적인 매력의 생장미 향기","195,000원",4.7
Women,84,프레데릭 말 엉빠썽 50ml,프레데릭말,맑은 이슬을 머금은 라일락 생화 꽃 향기,"224,500원",4.7
Women,85,프라다 캔디 플로럴 오 드 뚜왈렛 30/50/80ml,프라다,"딸기 칵테일에 사뿐히 올라간 꽃잎처럼, 부드럽게 연출하는 섹시함","88,000원",4.8
Women,86,조말론 잉글리쉬 페어 앤 프리지아 바디 앤 핸드 로션 250ml,조말론,조말론 베스트셀러 '잉글리쉬 페어 앤 프리지아' 를 원하는 곳에 바를 수 있는 바디 & 핸드 로션,"70,000원",0.0
Women,87,랄프로렌 폴로 랄프 우먼 오 드 뚜왈렛 30/50ml,랄프로렌,"랄프로렌 여자향수 베스트, 뭐 뿌렸는지 꼭 물어보는 향수","47,200원",4.7
Women,88,구찌 알케미스트 가든 문라이트 세레나데 오 드 퍼퓸 150ml,구찌,"시원한 라벤더 바람과 함께 내 귓등을 타고 흐르는 청량함, 세이지와 라벤더의 여름날 향기","289,000원",0.0
Women,89,펜할리곤스 베스트셀러 디스커버리 세트,펜할리곤스,펜할리곤스 베스트 & 스테디셀러 10종으로 구성된 디스커버리 패키지,"49,000원",5.0
Women,90,구딸파리 로즈폼퐁 오 드 퍼퓸,아닉구딸,붉은 입술과 흑발의 탕웨이가 전하는 고급스러운 미소,"108,000원",5.0
Women,91,에르메스 트윌리 데르메스 오 프와브레 오 드 퍼퓸,에르메스,"트윌리 라인 중 가장 가벼운 산뜻함을 가져, 부드러우면서도 분명히 각인되는 옅은 로즈와 비누 향기","98,000원",0.0
Women,92,오리베 프래그런스 디스커버리 세트,오리베,"청량하게 부서지는 넓은 확산력, 오리베를 경험하기 좋은 3종 디스커버리 세트","29,700원",5.0
Women,93,샤보 이노센트 프라질리테 오 드 퍼퓸 30ml,샤보,"꽃비누로 깨끗히 씻은 후, 수건만 가볍게 두르고 나온 듯한 순수+관능미","117,500원",4.3
Women,94,샤보 에뜨왈 드 룬 오 드 퍼퓸 30ml,샤보,햇살을 잘게 부순듯한 파우더에서 날것 같은 오렌지블로썸의 나긋한 향기,"101,300원",0.0
Women,95,입생로랑 리브르 오 드 퍼퓸,입생로랑,"따뜻한 라벤더의 포근함 속, 힘있게 남는 오렌지블라썸 커리어우먼","82,000원",4.8
Women,96,구찌 알케미스트 가든 윈터스 스프링 오 드 퍼퓸 100ml,구찌,미모사와 아카시아 꽃을 가볍게 띄워놓은 미온수로 부드럽게 목욕한 후 살에 남은 잔향,"395,000원",0.0
Women,97,살바도르 달리 달리라이트,살바도르 달리,사과를 머금은 백합샴푸 향을 은은하게 풍기는 데일리 향수,"23,800원",4.8
Women,98,살바도르 달리 오드루비립스,살바도르 달리,포도와 파인애플을 갈아 얼음 위로 사각 부어놓은 데일리향수,"23,800원",4.7
Women,99,구찌 알케미스트 가든 어 윈터 멜로디 사이프러스 센티드 워터 150ml,구찌,"서늘한 겨울 공기가 하얀 입김으로 되돌아가는 풍경, 그곳을 에워싸는 눈 덮인 초겨울의 숲 향기","289,000원",5.0
Women,100,아틀리에 코롱 클레망틴 캘리포니아 30ml,아틀리에 코롱,"소다 밀키스를 마시는 상큼함, 아틀리에의 베스트셀러","72,000원",4.8
Women,101,구찌 블룸 프로푸모 디 피오리 오 드 퍼퓸 50ml,구찌,구찌의 아이코닉한 블룸 감성을 더 잔잔하게 풀어낸 튜베로즈 향기,"107,000원",4.8
Women,102,에트로 라자스탄 오 드 퍼퓸 100ml,에트로,"자유를 찾아 유랑하는 집시,보헤미안 스타일의 묵직한 앰버와 미모사 그리고 머스크의 폭닥한 향기","135,200원",0.0
Women,103,에트로 비콜로피오리 오 드 뚜왈렛 50/100ml,에트로,고급스런 모던함의 벨 플라워가 상대방을 휘감는 매력,"83,200원",4.0
Women,104,에트로 우다이푸르 오 드 퍼퓸 100ml,에트로,"레몬을 적신 고운 점토 비누로 샤워를 마친 후, 수건을 덮은 부드러움","166,000원",5.0
Women,105,에트로 샨텅 오 드 퍼퓸 100ml,에트로,얇은 피오니 꽃잎이 블랙커런트와 연출하는 담백한 관능미,"135,000원",5.0
Women,106,에트로 비아베리 오 드 뚜왈렛 100ml,에트로,"에트로 베스트셀러, 씻고 나온 라벤더 비누향이 설렘 가득히 사이프러스 숲을 감싸안는 순간","118,000원",4.8
Women,107,구찌 길티블랙 우먼 오 드 뚜왈렛,구찌,"라즈베리와 파츌리의 은은한 모던함이, 퇴근길을 서두르는 그녀가 지나는 길에 잔잔한 흔적을 그리는 향기","97,000원",4.5
Women,108,에르메스 오 도랑쥬 베르트 오 드 코롱,에르메스,"나른함 가득한 늦은 오후, 커튼 사이로 들어오는 햇살을 타고 흐르는 오렌지와 레몬의 상큼함","105,000원",0.0
Women,109,에르메스 오 드 시트론 느와 오 드 코롱,에르메스,"에르메스식 남성의 관능미, 아슬아슬한 경게 사이를 넘나드는 시트러스 - 스모키의 정석","105,000원",5.0
Women,110,몽클레르 뿌르 팜므 오 드 퍼퓸,몽클레르,"포근함이 느껴지는 함박눈 위로, 달콤한 바날리색 연유 라떼가 가볍게 녹아들며 남기는 자취","110,000원",5.0
Women,111,버버리 런던 우먼 오 드 퍼퓸,버버리,졸업반에 찾아온 긴생머리의 선배님이 풍길법한 우아한 허니써클 향기,"43,000원",4.8
Women,112,글로시에 글로시에 유 오 드 퍼퓸 50ml,글로시에,"살결인지, 살결에 스친 꽃잎인지 헷갈리게 만드는 묘한 순수함","89,000원",4.8
Women,113,빅터앤롤프 플라워밤 넥타린 오 드 퍼퓸 50ml,빅터앤롤프,"서양에서 정말 인기있는 플라워밤의 신작, 핑크 부케에 화사하게 드레싱된 꿀 향기","128,000원",4.7
Women,114,나소마토 실버 머스크 엑스트레 퍼퓸 30ml,나소마토,"하얀 눈의 결정체가 손바닥 위에서 녹는 듯, 극도로 투명한 목화꽃의 깨끗함","245,500원",0.0
Women,115,바스틸 플레르 룬 오 드 퍼퓸 50ml,바스틸,"달빛이 투영된 튜베로즈, 그 서정적이고 아린 보라빛 감성의 향기","165,500원",0.0
Women,116,퍼퓸드말리 사파나드 75ml,퍼퓸 드 말리,석양의 차분함을 닮은 오렌지 블라썸에 차분하게 녹아드는 일랑일랑과 바닐라,"298,000원",0.0
Women,117,프라고나르 로즈 드 메이 오 드 뚜왈렛 100/200ml,프라고나르,"매일 쓰는 장미수 토너처럼, 투명하게 젖어가는 로즈의 청초함","71,500원",4.6
Women,118,프라고나르 꾀르 드 솔레이 오 드 퍼퓸 50/100ml,프라고나르,"햇빛에 반사된 블랙커런트가 사방으로 반짝이며, 프리지아와 연출하는 황홀함 그 자체","77,000원",4.8
Women,119,프라고나르 벨 쉐리 30/50/60ml,프라고나르,듬뿍 담긴 따스한 사랑에 달궈진 스타후르츠의 달콤함,"88,000원",5.0
Women,120,프라고나르 벨 드 그라스 오 드 뚜왈렛 100ml,프라고나르,"바이올렛,라일락의 보라빛 향연에서 헬리오트로프가 감싸안는 따스함","80,000원",4.4
Women,121,프라고나르 일다무르 퍼퓸 30/60ml,프라고나르,"바다의 솔티함이 배인 화이트 플로럴의 청초함이, 거칠던 파도도 잠재우는 나긋한 향기","88,000원",0.0
Women,122,프라고나르 디아망 30/50/60ml,프라고나르,"수수한 자스민과 관능의 바닐라 크림, 그 사이 간극을 채우는 달콤한 매력의 향기","88,000원",3.0
Women,123,장 폴 고티에 클래식 오 드 뚜왈렛 30/50/100ml,장 폴 고티에,달콤하게 내쉬는 숨결마저 유혹적일 것 같은 오리엔털 계열의 관능적인 향수,"68,000원",4.5
Women,124,장 폴 고티에 스캔들 오 드 퍼퓸 30/50/80ml,장 폴 고티에,파티 한가운데의 주인공 같은 달콤하고 센슈얼한 부드러움,"72,000원",4.7
Women,125,쥬시꾸뛰르 위 오 드 퍼퓸 100ml,쥬시꾸뛰르,상큼달콤함 과즙과 끌로에의 모던함이 어우러진 쥬시꾸뛰르의 새로운 신상향수,"91,600원",4.5
Women,126,크리드 플뢰르 드 가드니아 오 드 퍼퓸 75ml,크리드,가드니아와 라벤더가 잔뜩 핀 고동나무 아래에서 깊은 숨을 고르는 듯한 몽환적 향기,"363,000원",4.7
Women,127,클린 클래식 웜코튼 오 드 퍼퓸 30/60ml,클린 리저브,전방 100m 밖까지 닿는 새하안 비누 향기에 마음까지 산뜻해지는 깨끗한 향기,"38,000원",4.8
Women,128,트루사르디 - 르비드 밀라노 비아 델라 스피가 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,애플과 허니크림의 럭셔리하고 귀족적인 부드러움,"238,000원",5.0
Women,129,트루사르디 - 르비드 밀라노 갤러리아 비토리오 에마누엘레 2세 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,자신감 넘치는 관능미의 바닐라 모카향기,"238,000원",5.0
Women,130,트루사르디 - 르비드 밀라노 포르타 누오바 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,편안한 사랑을 하고싶은 아이보리 비누거품 향기,"238,000원",4.6
Women,131,트루사르디 돈나 오 드 퍼퓸 30/50/100ml,트루사르디 르비드 밀라노,"오렌지 블라썸이 상큼하게 터지고 남은 자리, 여전히 느껴지는 그날의 아름다움","40,000원",5.0
Women,132,트루사르디 페미닌 오 드 퍼퓸,트루사르디 르비드 밀라노,"연보라색 꽃들 사이 은연 중에 맡아지는 벨벳 질감의 스웨이드, 그 포근한 고급스러움","52,000원",0.0
Women,133,퍼퓸 드 말리 델리나 75ml,퍼퓸 드 말리,엄친딸 포스 나는 예쁘고 달콤한 리치 바닐라와 피오니의 사기적인 향기,"310,000원",4.8
Women,134,퍼퓸드말리 아탈리아 75ml,퍼퓸 드 말리,촉촉한 아이리스에 포근한 머스크의 귀족같은 차분함,"338,000원",5.0
Women,135,퍼퓸드말리 달시 오 드 퍼퓸 75ml,퍼퓸 드 말리,"퍼퓸드말리 여성향수, 달시","310,000원",0.0
Women,136,퍼퓸 드 말리 멜리오라 75ml,퍼퓸 드 말리,로제 와인을 부딪히는 순간 스파클링하게 떠오르는 연보라빛 은하수,"358,000원",5.0
Women,137,아이젠버그 조즈 우먼 30/50/100ml,아이젠버그,"톰포드 블랙오키드의 여름 버전처럼, 자신만의 개성과 분위기가 뚜렷한 여자","65,200원",4.7
Women,138,아이젠버그 디아볼리끄 우먼 30/50/100ml,아이젠버그,날카롭지만 깊고 스모키한 눈빛을 닮은 그을린 베티버와 샌달우드 향기,"65,200원",4.5
Women,139,아이젠버그 르페쉬에 우먼 30/50/100ml,아이젠버그,"살짝 트인 스커트 사이로 드러난 살결처럼, 과하지 않게 부드러운 섹시함과 센슈얼의 중간","65,200원",4.4
Women,140,아이젠버그 오프레쉬 우먼 30/50/100ml,아이젠버그,"라벤더의 선선함을 따라 이끌려간 곳, 아로마틱한 여운이 길게 남는 향기","65,200원",4.9
Women,141,아이젠버그 아이엠 우먼 30/50/100ml,아이젠버그,"투명한 누드 립, 약간 벌어진 입술 사이가 만드는 뇌쇄적인 아름다움","65,200원",4.7
Women,142,아틀리에 코롱 포멜로 파라디 30ml,아틀리에 코롱,생 자몽 하나를 그대로 갈아낸 듯한 싱싱함,"72,000원",4.7
Women,143,아닉구딸 엉 마뗑 도하쥬 100ml,아닉구딸,비 맞은 가드니아가 잔뜩 피어있는 정원을 걷고 있는 은은한 향기,"124,000원",4.6
Women,144,구딸파리 르 쉐브르페이유 오 드 뚜왈렛 100ml,아닉구딸,"크리넥스 티슈향으로 유명한, 들판의 수선화와 풀꽃들의 음율같은 청아하고 순수한 향기","145,000원",4.5
Women,145,세르주루텐 다튜라느와 오 드 퍼퓸,세르주루텐,"깊은 상처까지 감싸 안아줄 것 같은, 헬리오트로프와 튜베로즈의 안락한 편안함","174,500원",5.0
Women,146,세르주루텐 플뢰르 도랑제 오 드 퍼퓸,세르주루텐,무르익은 튜베로즈 꽃망울이 터지며 달콤한 허니 디저트 위로 사뿐히 내려앉는 섬세함,"174,500원",5.0
Women,147,분더샵 인피니트 썬 오 드 퍼퓸 50ml,분더샵,"태양을 보며 활짝 피는 은방울꽃에, 미처 털어내지 못한 흙 한 줌이 어울린 향기","103,500원",5.0
Women,148,발렌시아가 플로라 보타니카 오 드 퍼퓸 30/50/100ml,발렌시아가,서늘함을 품고 나타난 로즈와 카네이션의 시크한 여성스러움,"78,000원",4.8
Women,149,빅토리아 시크릿 저스트 어 키스 오 드 퍼퓸 50ml,빅토리아시크릿,"볼 위 가벼운 입맞춤을 부를 정도로, 피오니와 과일을 아낌없이 부어 완성한 사랑스러움","75,000원",0.0
Women,150,빅터앤롤프 플라워밤 오 드 퍼퓸 30/50/100ml,빅터앤롤프,롤케익 처럼 부드럽고 달콤한 블랙베리의 발랄한 섹시미,"71,300원",4.8
Women,151,빅터앤롤프 플라워밤 듀 오 드 퍼퓸 30/50/100ml,빅터앤롤프,"티 안나게 예쁘다, 분위기 자체 끝판왕을 만들어버리는 청초함","71,300원",5.0
Women,152,빅터앤롤프 봉봉 오 드 퍼퓸 30/50/90ml,빅터앤롤프,"오늘따라 더 사랑스럽네, 망고와 재스민 아이스크림의 달콤한 조화","71,300원",5.0
Women,153,불리 오 트리쁠 알 카시르 75ml,불리 1803,"살짝 힘을 뺀 바닐라와 고소한 샌달우드, 느슨한 듯 여유로운 우디 내음","170,000원",0.0
Women,154,르라보 로즈 31 오 드 퍼퓸 50/100ml,르라보,마른 장미잎과 오우드가 어우러진 중성적인 향수,"210,000원",4.9
Women,155,롤리타렘피카 우먼 오 드 퍼퓸,롤리타렘피카,10년동안 스테디셀러를 지킨 포근하고 여성스러운 미모사 - 아몬드 향기,"45,000원",4.6
Women,156,롤리타 렘피카 몽 오 드 퍼퓸 50ml,롤리타렘피카,파우더리함은 낮추고 베리의 싱그러움을 살린 - 롤리타렘피카의 데일리룩,"57,000원",4.7
Women,157,로이비 베르가못 앤 화이트로즈 오 드 퍼퓸 50ml,로이비,"쁘띠쉐리를 차분하게 닮은, 아삭한 배와 로즈가 얽혀 연출하는 차분한 조화","98,100원",4.0
Women,158,로이비 로터스 앤 인센스 오 드 퍼퓸 50ml,로이비,"로이비의 중성 향수 베스트셀러, 푸르스름한 안개비를 들이마신 연꽃의 향기","98,100원",5.0
Women,159,로이비 만다린 앤 샌달우드 오 드 퍼퓸 50ml,로이비,"마음 한 켠에 쌓아둔 유년시절, 그 시기를 닮은 민트 잎의 옅은 풀물과 자몽의 쌉싸름함","98,100원",5.0
Women,160,로이비 피오니 앤 화이트 머스크 오 드 퍼퓸 50ml,로이비,"로이비의 여성 향수 베스트셀러, 몽글한 구름을 닮은 피오니의 하얀 설레임을 담은 향기","98,100원",5.0
Women,161,로이비 휘그 앤 시더우드 오 드 퍼퓸 50ml,로이비,"진중한 숲의 향기를 머금은 무화과, 그 하얀 달콤함이 경쾌하게 피어나는 포레스트","98,100원",4.7
Women,162,로이비 샤프론 앤 오렌지 블로썸 오 드 퍼퓸 50ml,로이비,"버건디빛 샤프란과 오렌지 블로썸이 써내려가는 가을무드, 달콤하게 무르익은 오리엔탈 플로럴","98,100원",5.0
Women,163,로에베 아우라 핑크 매그놀리아 오 드 퍼퓸 50ml,로에베,"연분홍빛 목련 꽃봉오리가 바람에 한 점씩 떨어질 때 차분히 내려앉는, 살가운 시트러스-머스키","90,000원",0.0
Women,164,랄프로렌 폴로 우먼 오 드 퍼퓸 30/50/100ml,랄프로렌,"이제는 성숙해진 나이, 굳이 애쓰지 않아도 모두가 알아보는 아름다움","68,000원",5.0
Women,165,프라다 캔디 오 드 퍼퓸 30/50/80ml,프라다,"센슈얼하게 퍼지는 달콤함의 끝판왕, 클래식한 여성스러움","94,000원",4.8
Women,166,프라다 라팜므 오 드 퍼퓸 35/50/100ml,프라다,"출퇴근용으로 좋은, 아이보리 비누 향기가 연출하는 폭닥한 섹시함","94,000원",4.8
Women,167,프라다 캔디 슈가팝 오 드 퍼퓸 30/50/80ml,프라다,"레몬케이크를 한 입, 두 입 가볍게 떠먹는 것처럼 부드러운 상큼함","92,000원",4.9
Women,168,돌체앤가바나 돌체 샤인 30/50/75ml,돌체앤가바나,말린 건망고에 연유를 살짝 뭍혀 재스민꽃과 먹는 것 같은 따뜻한 달콤함,"62,800원",4.3
Women,169,프라다 레스 인퓨전 디 플로럴 디 오렌지 100ml,프라다,아늑한 햇살 사이 따뜻함을 더해가는 오렌지와 부케 향기,"184,000원",5.0
Women,170,돌체앤가바나 돌체 피오니 30/50/75ml,돌체앤가바나,포도맛 밀크쉐이크를 들고서 신나게 뛰어다니는 대학생 새내기같은 상큼달콤함,"58,800원",4.3
Women,171,프라다 캔디 글로스 오 드 뚜왈렛 30/50/80ml,프라다,"아삭거리는 달콤한 체리, 청포도가 프라다의 여성미를 입었을 때","87,500원",5.0
Women,172,데렉 램 10 크로스비 러브디럭스 오 드 퍼퓸 50/100ml,데렉 램 10 크로스비,비가 그친 뒤 잔뜩 날이 서 있는 정원에서 가장 사랑스럽게 핀 꽃의 담백함,"75,000원",5.0
Women,173,데렉 램 10 크로스비 사일런트 스트리트 오 드 퍼퓸 10/50/100ml,데렉 램 10 크로스비,더운여름날 흰색시스루 티셔츠와 청바지를 가볍게 입은 듯한 파우더한 향기,"33,300원",4.8
Women,174,프라다 캔디 키스 오 드 퍼퓸 50/80ml,프라다,"나도 모르는 새 은근히 젖어, 내 마음을 차지한 바닐라의 달콤함","123,000원",4.8
Women,175,누NOU 벨벳 블라썸 오 드 퍼퓸 50ml,누NOU,"스모키한 벨벳 질감의 따스한 클로브 향기, 중성적인 데일리 캐주얼","42,000원",0.0
Women,176,누NOU 플로럴 미스트 오 드 퍼퓸 50ml,누NOU,"프리지아, 만다린, 로즈가 이슬 안개처럼 공중으로 흩어지는 경쾌한 향기","42,000원",0.0
Women,177,누NOU 프리지아 오 드 퍼퓸 50ml,누NOU,신선하게 간 갈바넘과 쨍한 프리지아가 하루종일 곁에 감도는 뽀송함,"42,000원",0.0
Women,178,누NOU 로즈 파출리 오 드 퍼퓸 50ml,누NOU,로즈와 파출리의 스파클링한 사랑스러움이 한 장면으로 추억되는 향기,"42,000원",4.0
Women,179,누NOU 투베로즈 오 드 퍼퓸 50ml,누NOU,투베로즈의 하얀 곡선처럼 등의 여린 살결이 유영하듯 흐르는 아름다움,"42,000원",0.0
Women,180,프로소디 런던 로즈 론듀 오 드 퍼퓸 50ml,프로소디 런던,버건디 로즈 그리고 블랙커런트와 제라늄의 쌉싸름한 달콤함을 씹어낸 신선한 아성,"134,000원",5.0
Women,181,프로소디 런던 히아신스 존퀼 오 드 퍼퓸 50ml,프로소디 런던,"햇살이 비추는 자리, 하얀 치마 폭에 담은 히아신스가 따뜻하게 물드는 여운의 향기","134,000원",0.0
Women,182,나르시소 로드리게즈 루즈 오 드 뚜왈렛 50ml,나르시소 로드리게즈,"18년 하반기신상, 체리의 달콤함과 로즈가 어울린 캐쥬얼 섹시","88,300원",5.0
Women,183,프로소디 런던 트레비 로즈 오 드 코롱 30ml,프로소디 런던,라즈베리 과즙을 먹고 자라나 더욱 붉어진 장미가 연출하는 고혹스러운 향기,"70,500원",5.0
Women,184,나르시소 로드리게즈 푸드레 오 드 퍼퓸 30/50/90ml,나르시소 로드리게즈,"부드러운 달콤함으로 샤워한 듯, 뽀송한 비누","51,500원",5.0
Women,185,프로소디 런던 페이퍼 플라워 팬 오 드 코롱 30ml,프로소디 런던,"프로소디의 베스트셀러, 프리지아 꽃 한 송이가 주는 잔잔한 싱그러움","70,500원",5.0
Women,186,나르시소 로드리게즈 포허 오 드 퍼퓸 30/50/100ml,나르시소 로드리게즈,실크처럼 부드럽고 섬세한 머스키한 로즈의 고급스러운 향기,"51,500원",4.9
Women,187,프로소디 런던 베리 블릿츠 오 드 코롱 30ml,프로소디 런던,"갓 딴 베리와 오렌지 마멀레이드, 모두를 식탁으로 불러모으는 신선한 상큼함","70,500원",5.0
Women,188,프로소디 런던 무아레 미모사 오 드 코롱 30ml,프로소디 런던,"연둣빛 달콤함이 미모사에 닿아, 자연에서 느낄 수 있는 가장 편안한 상큼함을 피워내는 향기","70,500원",4.8
Women,189,끌로에 러브스토리 오 드 퍼퓸 75ml,끌로에,"웹드라마의 대학 캠퍼스 한 장면처럼 상큼한 장미, 배 향기","115,000원",4.9
Women,190,끌로에 노마드 오 드 퍼퓸,끌로에,"플럼과 자스민의 톡쏘는 상큼함을 감싸안는 차분한 시프레, 기존 끌로에와는 사뭇 다른 시크함","113,000원",4.7
Women,191,불리 오 트리플 다마스크 로즈 75ml,불리 1803,"장미 본연의 분위기, 온전한 아름다움으로 모두를 납득시키는 유려함","170,000원",4.9
Women,192,SWG컬렉션 로제가즘 50ml,SWG Collection,"에펠탑이 보이는 마르스 광장, 바람을 타고 날아오는 장미와 라즈베리의 낭만","88,200원",0.0
Women,193,SWG컬렉션 베티버느와 50ml,SWG Collection,"뉴욕 센트럴의 자유와 방황을 닮은 페퍼와 토바코, 미니멀과 모던 사이를 아우르는 세련된 중성미","88,200원",0.0
Women,194,메종 프란시스 커정 아쿠아 유니버셜 오 드 뚜왈렛 70ml,메종프란시스 커정,어디서 상큼한 향기난다! 할 정도로 청아하고 날카로운 공용 향수,"220,000원",4.8
Women,195,메종 프란시스 커정 아쿠아 셀레스티아 오 드 뚜왈렛 70ml,메종프란시스 커정,"빙하얼음을 분쇄한 듯, 청량함을 담아 지적이고 깨끗한 향기","224,000원",4.7
Women,196,메종 프란시스 커정 아쿠아 비떼 오 드 뚜왈렛 70ml,메종프란시스 커정,"과이악 우드의 잎사귀가 가을 낙엽으로 레몬색을 띄는 계절, 만다린 조각이 스파클링하게 통카빈을 두드리는 시간","224,000원",5.0
Women,197,메모 그라나다 오 드 퍼퓸 75ml,메모,자욱이 내려 앉는 달빛을 머금은 자스민 근처로 살며시 피어가는 바닐라의 부드러운 달콤함,"263,000원",0.0
Women,198,딥디크 도손 오 드 뚜왈렛,딥티크,단아하고 귀족적인 느낌의 달콤한 우유같은 튜베로즈향기,"128,000원",4.8
Women,199,스테파니 브루진 파리몽타뉴 오 드 퍼퓸 100ml,스테파니 브루진,"입가에 고인 보랏빛 와인이, 지그시 감겨진 눈꺼풀이 따라올 수 없게 만드는 독보적인 분위기","225,000원",5.0
Women,200,스테파니 브루진 캐시미어 오 드 퍼퓸 100ml,스테파니 브루진,"화양연화 속 낡은 다락방, 우디 머스크의 붉은 톤이 따스하게 머무는 자리의 향기","225,000원",0.0
Women,201,스테파니 브루진 델리스 오 드 퍼퓸 100ml,스테파니 브루진,"파리의 돌담길, 시나몬과 바닐라빈의 따스함이 천천히 자리를 데우는 향기","225,000원",0.0
