품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
"달리 명시되지 않은 의료용,외과용,치과용이나 수의용의 기기",수입액[천달러],천달러,208535,168836,216592,198436,194465,223894,212085,206556,221429,217294,203871,237462,209912,203742,249214,249381,236768,241379,252546,232698,219763,223806,234513,259172,189608,187877,188973,186999,193801,178315
달리 명시되지 않은 계기,수출액[천달러],천달러,7972,11738,8195,9079,7395,6337,12668,11381,13201,18697,16695,17792,8870,8279,14295,8541,10552,9785,11608,10487,11123,12466,12537,15443,24230,22013,21337,26192,16523,21426
달리 명시되지 않은 계기,수입액[천달러],천달러,11180,8376,14315,10836,8361,7433,11589,12413,14419,13290,12734,15227,13178,10241,16070,14943,17453,14990,16639,14576,15044,15384,13453,16567,20818,17721,23090,22910,26091,26073
"달리 명시되지 않은 측정,검사,분석 통제기구 및 장치",수출액[천달러],천달러,430661,410556,487936,431147,427608,459133,494153,471179,493969,474343,518452,564217,475433,471694,593122,586381,510456,576330,478082,408388,438872,457870,473699,575954,409748,425248,570362,432527,484915,497770
"달리 명시되지 않은 측정,검사,분석 통제기구 및 장치",수입액[천달러],천달러,681390,756489,866253,804292,660481,894452,937543,835250,852968,916096,821096,1042574,1122308,988028,1203009,945755,940523,1003838,951152,894744,834821,907606,1026210,1219383,815443,791490,927213,1006756,914485,938267
달리 명시되지 않은 사진장치 및 광학용품 휴대시계 및 큰시계,수출액[천달러],천달러,433240,419283,515643,395794,386614,478955,514976,490301,512957,473030,469102,522097,501653,490245,590459,524283,518866,548393,559549,536580,529911,518001,548757,580943,516239,520783,576400,498408,497295,392057
달리 명시되지 않은 사진장치 및 광학용품 휴대시계 및 큰시계,수입액[천달러],천달러,409988,386710,430298,381043,309533,367894,381348,390603,431618,427378,497953,483404,455017,438722,515959,449382,404057,448026,477361,493648,501062,508385,532786,519745,449300,399053,455030,439109,422595,408681
달리 명시되지 않은 사진장치 및 장비,수출액[천달러],천달러,5580,2235,13021,1307,2833,3108,5570,6335,3688,8068,4447,3103,9006,2100,4265,3510,4146,5339,5023,9070,4633,3033,6689,5456,6630,5090,5920,1812,4259,8359
달리 명시되지 않은 사진장치 및 장비,수입액[천달러],천달러,11015,12441,14384,17761,14566,11613,10786,11037,6945,7576,14214,20091,11505,7381,10777,14696,9872,15318,11864,26400,10362,11642,9435,8735,11141,15918,16454,5029,11262,17135
사진 및 영화비품,수출액[천달러],천달러,81790,84547,99482,81553,75343,82920,86026,77893,84313,90382,88052,96369,95252,97200,104961,98788,96634,101123,114100,109455,106498,105647,110728,108804,97442,99793,99711,96513,100910,81262
사진 및 영화비품,수입액[천달러],천달러,76662,81209,93288,95056,75118,94943,90988,77937,82010,80252,85759,99464,85211,87887,109491,95988,87585,94148,100844,98006,104529,107416,104657,110837,72464,71376,76905,78009,78449,73466
영화필름,수출액[천달러],천달러,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
영화필름,수입액[천달러],천달러,0,0,1,,,0,,0,0,,,0,,0,,,,1,,0,,1,1,0,,,,,,
달리 명시되지 않은 광학용품,수출액[천달러],천달러,340529,324463,399709,309949,296972,385832,418646,397381,419612,367122,368110,417372,392047,385423,436364,412754,410521,435548,430705,400995,409955,403159,422269,458706,404048,408613,462131,393143,384465,293746
달리 명시되지 않은 광학용품,수입액[천달러],천달러,239133,214385,259836,213412,180375,196488,216928,225847,272734,264439,317520,267687,297036,260261,296839,254052,222497,240332,258932,288404,285929,308095,321887,302988,294405,233396,272885,277308,237277,239294
