date,star,text,name
2021-09-03,5,맛있어요 살짝 얼려서 슬러쉬처럼 먹었더니 꿀맛,천년주가 전주모주
2021-09-08,5,달달하니 목넘김이 좋고 섞어서 마시고 참 좋습니다,천년주가 전주모주
2021-08-19,5,맛있네요 잘먹갰습니다,천년주가 전주모주
2021-07-16,5,넘 맛있어요어느식당에서 맛있게 먹어보고주문했는데 똑같은맛용기도 편리하게 되어있어서보관하기도 편합니다무엇보다도 51서비스 ,천년주가 전주모주
2021-07-03,2,포장이 너무 안좋네요 박스가 온전하지못한체 온것도 그런데 제품포장도 그리 온전하게 온게 아니네요먹는데는 이상은 없지만 그래도 돈주고 산제품이 비정상적인 모습으로오는건 돈이 아깝다는 생각이 들게합니다,천년주가 전주모주
2021-08-24,5,시원하게 잘먹었습니다,천년주가 전주모주
2021-07-27,5,일단 다들 맛있다고 하고요 살짝 수정과 느낌도 난다고 합니다 남녀노소 즐길수있어서 참 좋은 전통음료죠 몆년전만해도 모주는 인터넷으로 찾을래야 찾을수도 없었는데이제는 콩나물 국밥집에서만 먹지말고 집에서도 한잔씩 하세요,천년주가 전주모주
2021-08-21,4,신속하게 배달되었어요,천년주가 전주모주
2021-08-08,5,한번  먹기  딱  좋아요      유통 기간도  넉넉 하고  잘  먹겠음니다,천년주가 전주모주
2021-08-10,5,모주를 택배로 시켜먹을 수 있어서 좋아요,천년주가 전주모주
2021-08-05,5,좋은 제품 포장 꼼꼼하게 잘 해주셔서 감사합니다,천년주가 전주모주
2021-07-25,4,배송이 좀 느린 편을 제외하면 만족합니다,천년주가 전주모주
2021-07-08,5,배송이 빠르고 상품도 만족합니다많이 파세요,천년주가 전주모주
2021-06-24,5,아주 맛있어요 든든해요,천년주가 전주모주
2021-05-19,5,잘 받았습니다 병이 넘 이뻐요한병 먼저 마셔봤는데 역시 맛나네요다음번엔 얼음넣어서 따끈하게 해서 소주타서 마셔볼겁니다감사합니다,천년주가 전주모주
2021-06-04,5,갓 제조된 모주이고 알콜 도수가 낮아 건강에도 나쁘지 않을 것 같아요 배송도 빠르고 만족해요,천년주가 전주모주
2021-05-19,5,가끔 모주 파는곳에서 먹어보는 모주였는데 이 제품은 색이 예쁘네요 진하지않은데도 맛과 풍미는 입안과 코를 사악 풍기고 달달한맛이 되게 잘 어울려요 시원하게 먹어보니 더 맛잇어요 요즘 코로나라 걱정인데 면역력에도 좋겟어요 ㅎㅎ 잘먹겟습니다 ㅎㅎ,천년주가 전주모주
2021-06-30,3,알콜이없는술인지몰랐어요ㅋㅋ먹다말았어요 술이안취해서배만부르네요,천년주가 전주모주
2021-06-23,5,만족 합니다  같이 먹은 사람들 전부다 만족하였어요,천년주가 전주모주
2021-05-21,5,맛있다고 하니까 맛을 보려구요라벨이 이쁘네요차게 해서 먹으면 좋다해서 구입했습니다마셔보고 또 주문할께요,천년주가 전주모주
2021-05-22,5,배송도 빠르고 맛있습니다,천년주가 전주모주
2022-11-17,5,전주에서 직접 먹어보고 맛있어서 더 주문해봤는데 동일한 제품이라 맛있게 또 마시고 있네요ㅎㅎ 가끔 생각날때마다 또 주문할거같아요,천년주가 전주모주
2022-11-15,5,일단 배송이 무지 빠르고요모주는 처음 먹어봤는데 나름 술이긴 해도 건강해지는 듯한 맛이네요,천년주가 전주모주
2022-11-24,5,전주에서 먹던게 생각나서 주문했는데 크기가생커서 놀랐어요 잘 먹겠습니다,천년주가 전주모주
2022-10-30,4,빠른배송감사합니다 잘받았습니다 모주를 좋아하셔서 아버지께 선물로 보내드렸습니다,천년주가 전주모주
2022-11-21,5,아직 먹지는 않았지만일본인 친구에게 택배로 보낼까 해요수화물 넣어도 괜찮죠,천년주가 전주모주
2022-11-15,4,일전에 어느 가게에서 마셔보고 바로 구매했습니다 역시나 맛있네요,천년주가 전주모주
2022-11-26,5,부모님이 맛있다고 하십니다,천년주가 전주모주
2022-10-26,5,정말 맛있네요 내 최애술,천년주가 전주모주
2022-10-23,5,즐겨 마시는 모주겨울철 음료로 강추 입니다,천년주가 전주모주
2022-11-07,5,아는동생이전주갔을때마셔보고맛있다고사다줘서주문했어요,천년주가 전주모주
2022-10-17,5,재구매했습니다어머니께서 수면제 대신 모주를 선택하셨습니다자기전 따뜻하게 한잔씩 드시고 주무시는데 너무 잘 주무신다고합니다,천년주가 전주모주
2022-11-02,5,배송도빠르고 득템했네요,천년주가 전주모주
2022-10-29,5,모주 본연의 맛이라서 좋습니다,천년주가 전주모주
2022-10-28,5,다른 막걸리와는 다른 맛이 참 신선했어용,천년주가 전주모주
2022-10-13,5,배송도 빠르고 좋습니다,천년주가 전주모주
2022-11-01,4,상품은 만족 배송은 불만족,천년주가 전주모주
2022-10-09,5,어머님이 불면증이 조금 있으신데 이거 드시고 너무 잘 주무세요,천년주가 전주모주
2022-09-06,4,재구매했어요 감사합니다 맛있게 먹을께용,천년주가 전주모주
2022-09-29,5,진하고 맛있어요,천년주가 전주모주
2022-09-16,5,달달하니 맛나요 ,천년주가 전주모주
2022-09-06,5,배송 빠르고 제품도 좋아요,천년주가 전주모주
2022-07-27,5,알콜농도가 1라서 부담스럽지 않고 맛도좋아요,천년주가 전주모주
2022-09-02,5,모주는 사랑입니다,천년주가 전주모주
2022-07-26,5,맛있고 해장도 잘되는것 같아서 재구매 했어요,천년주가 전주모주
2022-06-29,5,몇가지 브랜드별로 모주 구입했는데 여기가 끝맛이 쌉싸름하면서 너무 묽지도 않고 콩나물국밥 먹으면서 한잔하던 모주와 비슷했습니다 알콜맛은 전혀 없어서 음료 느낌이네요 맛있어요,천년주가 전주모주
2022-08-17,4,비오는날 특별한 술 마셔봅니다,천년주가 전주모주
2022-08-01,5,운동하고  한잔 아주좋아요 다시 구매 해야될것같아요,천년주가 전주모주
2022-08-11,5,전주에서 사먹었던 그맛이네요,천년주가 전주모주
2022-07-17,4,어머니께서 좋아하셔서 또 구매합니다,천년주가 전주모주
2022-07-01,4,음식점에서 먹은 모주는 내입앗에 딱 이였는데  조금 싱거운것같아요  왜그럴까요 모주도 여러 맛인가요,천년주가 전주모주
